poorSignalLevel,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma,attention,meditation
,116812,13817,4027,3379,4744,1845,1142,672,0,0
,57879,27138,32282,13543,5058,7424,5537,2132,41,51
,283821,37414,24551,1738,11600,1505,2540,393,29,57
,1391956,255157,33976,29343,21737,21873,9653,3736,29,57
,102243,48068,6045,15260,17030,6196,5780,3916,29,60
,190297,71703,9272,3618,9232,1017,574,624,11,44
,12488,22110,575,4506,10177,8732,5615,2338,35,34
,113957,26851,4282,3201,6415,2380,917,394,35,34
,32819,7090,6318,751,3260,9414,1664,1840,53,35
,61226,46152,10010,1584,10219,2570,2061,1427,63,37
,1456032,41268,25728,17057,12433,31393,26403,3535,64,48
,84587,98933,28242,10267,1352,15610,8897,2670,69,51
,554311,71459,18540,9120,19838,6769,6432,2829,50,50
,498785,76171,15814,20235,14919,14200,20298,5516,57,54
,76736,52368,2534,9625,7207,6948,4571,930,47,47
,350292,185218,58308,22002,19866,21650,33722,5431,43,47
,137222,8488,5396,6635,3603,2691,2229,1564,48,54
,894351,203011,1783,51321,30019,12931,8500,3018,40,50
,627635,37440,12062,14914,23577,13816,9351,11539,47,54
,1861953,72250,35101,26855,25459,9807,20943,5718,44,60
,55181,79162,66545,15565,12190,6977,7585,3812,37,60
,25319,66072,21850,8400,22400,13265,5563,3318,47,63
,134514,18838,4384,1966,3092,3437,1976,1375,41,60
,39034,33103,23260,4690,10316,8030,3191,1377,48,60
,114366,50591,33784,33069,26906,10568,4615,3291,53,60
,648244,163150,17374,35664,35020,10264,9525,6209,44,57
,150610,224208,50620,15529,6695,5076,4882,1587,26,60
,293967,150979,11242,1474,6155,5093,2646,1828,14,44
,2805278,794634,194639,301473,254469,81545,38891,32063,11,40
,376842,41945,2748,14200,14264,5970,3643,1601,41,43
,153488,86164,21885,19089,18977,15270,15535,5166,51,54
,723228,61998,3761,7102,8051,2567,5638,1399,48,47
,1327505,206695,9101,31406,52089,61148,49571,7533,47,38
,245746,6033,1702,12153,1687,5089,1105,1348,54,48
,54154,15402,2742,3228,721,3235,1886,581,56,47
,80265,8136,7597,3595,1371,1972,4223,1065,66,60
,245707,176121,43399,33135,19279,10873,7125,1408,41,64
,1644554,53121,35894,6028,16937,3042,9144,3205,27,69
,419702,218036,23198,20452,25771,7473,6940,1207,16,57
,93814,81771,16056,6591,7666,9675,3268,1827,17,50
,415172,55199,7866,7246,8289,4033,2003,2160,21,44
