poorSignalLevel,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma,attention,meditation
poorSignalLevel,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma,attention,meditation
poorSignalLevel,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma,attention,meditation
,52641,71871,45347,18211,18480,10669,3747,2281,23,29
,86725,30863,7938,43358,7804,15352,4002,1896,37,57
,1550536,44035,11215,10562,6235,3001,830,707,34,63
,285012,33945,7944,8564,12878,2419,871,386,37,50
,90183,14292,1272,2888,3146,2024,1327,675,41,38
,11923,5464,3040,1587,4821,3687,4038,1791,48,27
,9320,12228,4304,5205,5494,7596,5411,1701,66,37
,9392,2515,1432,3888,5282,5086,5817,3209,91,40
,19899,6474,9979,8465,6640,4088,4251,2696,94,54
,23140,13325,2039,10377,3571,6997,3938,4266,91,60
,27876,23236,19643,13386,10170,9269,3116,1966,84,67
,27217,8604,11810,4763,11164,10881,16115,4310,81,70
,246920,19709,5592,8285,2142,1762,677,232,69,64
,18248,32153,18103,9256,3204,7023,3827,2948,61,66
,23075,14961,15938,10161,14870,7140,4275,1185,60,64
,131824,58401,5984,9211,3512,6311,1866,417,44,53
,28306,6656,15903,16234,8415,8158,4542,6895,57,63
,4647,23464,15422,13005,2555,3888,4318,2306,54,66
,51257,32288,7273,7122,8481,3912,3869,3238,48,60
,19170,1314,610,5104,11197,5189,3755,4383,69,64
,4175,54100,22842,14958,8674,9341,2397,4901,63,54
,18048,42266,4205,9302,11338,5419,4682,4716,64,40
,25225,34419,8165,13806,10865,13107,7085,2238,75,40
,9118,11099,3517,6044,22987,10109,5897,1004,69,37
,8975,3068,11159,5373,28200,6757,4567,1977,81,35
,193675,141154,6688,13804,22383,14828,3610,1515,81,27
,141346,23905,3015,940,4579,9271,975,1003,87,16
,20834,11256,33479,4381,9188,11661,3335,3313,80,34
,75361,45520,7651,6405,1728,3303,2216,465,61,27
,18981,47694,22679,14925,14823,11428,5723,2986,64,43
,2948,8003,9377,9943,5344,7405,4156,1553,61,64
,206341,39958,4591,7197,5988,2669,1436,901,47,48
,123112,24923,2865,2472,3391,1566,2773,632,30,41
,15874,7417,16941,9399,3275,6651,1375,4027,27,44
,11535,42525,33732,23320,8780,12956,9524,3235,50,57
,1304919,532752,60211,17846,22392,14944,14503,2972,43,54
,15951,17099,9061,10966,12012,12980,2076,1663,48,43
,34638,30205,10928,4129,5064,6008,990,1167,48,43
,8324,6463,2678,5803,9243,5697,12601,2543,60,37
,2182,5547,2090,7559,5018,13227,6945,2190,70,40
,21188,5272,1172,4705,3251,7267,4038,1939,90,40
,51616,22840,6029,5932,2483,1950,654,946,69,40
,16005,18984,7700,4805,4168,14016,4230,2217,96,44
,43234,104197,13454,15998,4526,9960,5670,4385,70,38
,66772,12722,3363,6960,6255,7346,5355,6535,63,40
,19870,12716,19019,8084,4789,6175,4164,1594,74,51
,3806,11006,12948,6543,6204,7382,4736,2115,67,60
,8453,5549,6976,9765,11595,5968,4129,3093,81,74
,82231,29260,8428,8524,13839,12133,5073,3699,77,61
,16542,20189,8787,3943,13071,13165,7085,2635,80,50
,93732,47129,29306,47532,11218,17729,8633,1698,74,53
,101570,21088,18168,30992,11696,11596,3659,5723,77,61
,30362,10132,1595,7980,7484,6184,9304,2225,80,64
,18365,5243,28646,17950,4992,21195,5188,2889,81,81
,169569,79172,10055,17260,24095,13152,6652,2740,80,66
,154716,35087,32184,7158,7408,25489,6679,6285,87,57
,60082,13206,798,2410,9260,2950,1030,1118,80,44
,109671,75330,20528,6470,11968,9028,11666,2689,64,27
,620488,275577,15646,52955,20884,26299,8201,10198,57,27
,9737,3819,14061,7444,4638,8140,5110,2627,69,51
,169174,14408,10033,17675,5922,2750,2659,592,66,66
,26831,16296,6542,3085,7696,16390,4092,2191,90,67
,12787,23552,5215,4614,2932,5156,2218,3567,77,61
,785127,31592,44693,7044,13291,14245,7508,6299,69,57
,10378,10165,4188,5086,4005,7473,9241,5185,88,48
,99773,21225,2459,3232,3506,1988,1595,908,66,47
,11350,5833,9166,6443,4813,12444,4700,2126,80,54
,16305,18276,12816,1913,10546,6803,6782,3609,81,48
,13522,12561,5191,11991,6003,10172,3945,4332,80,50
,16363,9166,6299,49057,9148,8551,3170,1476,87,75
,367021,27770,7642,5801,1723,2080,2462,684,61,67
,645036,42474,49849,26828,9137,8821,10978,3019,51,80
,17396,10857,3808,8965,11466,4726,3262,5631,48,78
,12638,9754,2948,8286,8012,9811,8610,6091,60,60
,11614,52026,4599,7199,2350,5942,11618,5038,64,51
,28691,19141,10657,29892,8276,7916,3242,5409,50,44
,14472,11818,19734,7194,4298,5144,1777,4183,41,70
,4424,16963,7976,1502,4671,4569,1919,2618,44,67
,66545,64645,9128,9892,4642,3321,370,342,30,53
,571603,71495,11505,12801,2846,3005,617,584,30,53
,30892,24027,1534,4743,7287,7677,2133,4102,54,44
,10465,12046,10047,33156,8209,6982,5715,2946,53,47
,14724,6397,20827,5827,3284,7037,4576,1584,54,61
,2903,19758,12289,15680,3783,6230,1809,1715,67,74
,10350,2901,14788,6379,13153,8859,1871,3907,70,91
,19622,14023,7373,3287,2357,3350,2890,4528,74,80
,182058,122212,610,8828,2666,8618,1415,648,61,48
